xlsdate,source,target,queueType,queueName,starttime,interval(s),posted_message,posted_transaction,postedrollbacks,postedrollbackOpe,postedsmalltran,postedbigtran,postedmaxtran,postedInsert,postedUpdate,postedDelete,backlog
2016-Oct-16 23:44:06,o.orcl,o.orcl,Post,t3,13-Oct-16 09:37:21,600, 35090, 8090, 0, 0, 0, 1, 16999, 18091, 0, 16999,0
2016-Oct-16 23:44:06,o.orcl,o.orcl,Post,t4,13-Oct-16 09:37:21,600, 41092, 11090, 0, 0, 3000, 1, 30000, 41092, 0, 0,0
2016-Oct-16 23:44:06,o.orcl,o.orcl,Post,t5,13-Oct-16 09:37:21,600, 8092, 8089, 0, 0, 0, 0, 3, 8092, 0, 0,0
2016-Oct-16 23:44:10,o.orcl,o.orcl,Post,t3,13-Oct-16 09:37:21,600, 35130, 8130, 0, 0, 0, 1, 16999, 18131, 0, 16999,0
2016-Oct-16 23:44:10,o.orcl,o.orcl,Post,t4,13-Oct-16 09:37:21,600, 41132, 11130, 0, 0, 3000, 1, 30000, 41132, 0, 0,0
2016-Oct-16 23:44:10,o.orcl,o.orcl,Post,t5,13-Oct-16 09:37:21,600, 8132, 8129, 0, 0, 0, 0, 3, 8132, 0, 0,0
2016-Oct-16 23:44:12,o.orcl,o.orcl,Post,t3,13-Oct-16 09:37:21,600, 35149, 8149, 0, 0, 0, 1, 16999, 18150, 0, 16999,0
2016-Oct-16 23:44:12,o.orcl,o.orcl,Post,t4,13-Oct-16 09:37:21,600, 41151, 11149, 0, 0, 3000, 1, 30000, 41151, 0, 0,0
2016-Oct-16 23:44:12,o.orcl,o.orcl,Post,t5,13-Oct-16 09:37:21,600, 8151, 8148, 0, 0, 0, 0, 3, 8151, 0, 0,0
2016-Oct-16 23:44:19,o.orcl,o.orcl,Post,t3,13-Oct-16 09:37:21,600, 35211, 8211, 0, 0, 0, 1, 16999, 18212, 0, 16999,0
2016-Oct-16 23:44:20,o.orcl,o.orcl,Post,t4,13-Oct-16 09:37:21,600, 60429, 11212, 0, 0, 3000, 1, 30000, 60429, 0, 0,0
2016-Oct-16 23:44:20,o.orcl,o.orcl,Post,t5,13-Oct-16 09:37:21,600, 8214, 8211, 0, 0, 0, 0, 3, 8214, 0, 0,0
2016-Oct-16 23:44:23,o.orcl,o.orcl,Post,t3,13-Oct-16 09:37:21,600, 35248, 8248, 0, 0, 0, 1, 16999, 18249, 0, 16999,0
2016-Oct-16 23:44:23,o.orcl,o.orcl,Post,t4,13-Oct-16 09:37:21,600, 71260, 11259, 0, 0, 3000, 2, 30000, 71260, 0, 0,0
2016-Oct-16 23:44:23,o.orcl,o.orcl,Post,t5,13-Oct-16 09:37:21,600, 8260, 8257, 0, 0, 0, 0, 3, 8260, 0, 0,0
